Location Title,Latitude {N+/S-},Longitude {E+/W-},TimeZone {+/- GMT},Elevation {m}
LOCATION_ARKHANGEL'SK_-_RUS_IWEC Data_225500,64.53,40.47,4.0,13.0
Number of Design Conditions,Title of Design Condition,,Design Stat,ColdestMonth,DB996,DB990,DP996,HR_DP996,DB_DP996,DP990,HR_DP990,DB_DP990,WS004c,DB_WS004c,WS010c,DB_WS010c,WS_DB996,WD_DB996,Design Stat,HottestMonth,DBR,DB004,WB_DB004,DB010,WB_DB010,DB020,WB_DB020,WB004,DB_WB004,WB010,DB_WB010,WB020,DB_WB020,WS_DB004,WD_DB004,DP004,HR_DP004,DB_DP004,DP010,HR_DP010,DB_DP010,DP020,HR_DP020,DB_DP020,EN004,DB_EN004,EN010,DB_EN010,EN020,DB_EN020,#Hrs_8-4_&_DB-12.8/20.6,Design Stat,WS010,WS025,WS050,WBmax,DBmin_mean,DBmax_mean,DBmin_stddev,DBmax_stddev,DBmin05years,DBmax05years,DBmin10years,DBmax10years,DBmin20years,DBmax20years,DBmin50years,DBmax50years
,,,Units,{},{°C},{°C},{°C},{},{°C},{°C},{},{°C},{m/s},{°C},{m/s},{°C},{m/s},{deg},Units,{},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{m/s},{deg},{°C},{},{°C},{°C},{},{°C},{°C},{},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{},Units,{m/s},{m/s},{m/s},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C}
1,Climate Design Data 2013 ASHRAE Handbook,,Heating,1,-33.2,-29.5,-36.1,0.1,-33.2,-32.2,0.2,-29.4,9.4,-5.5,8.3,-5.8,1,130,Cooling,7,9.4,27.2,19.5,25,18.1,22.9,17,20.6,25.5,19.3,23.7,17.9,21.6,3.1,140,18.8,13.6,23.2,17.4,12.5,21.7,16.1,11.5,20.4,59.2,25.7,54.9,23.7,50.6,21.6,511,Extremes,8.1,7,6.2,26.1,-35.7,29.8,3.3,2,-38.1,31.3,-40,32.5,-41.9,33.6,-44.3,35.1
Number of Typical/Extreme Periods,Period Name,Period Type,Period Start Day,Period End Day,<repeat to # periods>
6,Summer - Week Nearest Max Temperature For Period,Extreme,7/20,7/26,Summer - Week Nearest Average Temperature For Period,Typical,7/27,8/ 2,Winter - Week Nearest Min Temperature For Period,Extreme,12/22,12/28,Winter - Week Nearest Average Temperature For Period,Typical,1/ 6,1/12,Autumn - Week Nearest Average Temperature For Period,Typical,10/20,10/26,Spring - Week Nearest Average Temperature For Period,Typical,4/12,4/18
Number of Ground Temperature Depths,Ground Temperature Depth {m},Soil Conductivity {W/m-K},Soil Density {kg/m3},Soil Specific Heat {J/kg-K},Jan {C},Feb{C},Mar {C},Apr {C},May {C},Jun {C},Jul {C},Aug {C},Sep {C},Oct {C},Nov {C},Dec {C},<repeat to Number of temperature depths>
3,.5,,,,-10.63,-8.33,-3.86,0.38,8.39,12.61,13.77,11.63,6.69,0.53,-5.53,-9.53,2,,,,-7.46,-6.90,-4.35,-1.51,4.65,8.59,10.54,10.11,7.29,3.04,-1.75,-5.52,4,,,,-4.18,-4.58,-3.47,-1.85,2.22,5.27,7.24,7.72,6.49,3.99,0.74,-2.19
Leap Year Observed?,Daylight Saving Start Date,Daylight Saving End Date,Number of Holidays,Holiday Name,Holiday Date,<repeat for # Holidays>
No,0,0,0
Comment Line #1
"IWEC- WMO#225500 - Europe -- Original Source Data (c) 2001 American Society of Heating, Refrigerating and Air-Conditioning Engineers (ASHRAE), Inc., Atlanta, GA, USA.  www.ashrae.org  All rights reserved as noted in the License Agreement and Additional Conditions. DISCLAIMER OF WARRANTIES: The data is provided 'as is' without warranty of any kind, either expressed or implied. The entire risk as to the quality and performance of the data is with you. In no event will ASHRAE or its contractors be liable to you for any damages, including without limitation any lost profits, lost savings, or other incidental or consequential damages arising out of the use or inability to use this data."
Comment Line #2
 -- Ground temps produced with a standard soil diffusivity of 2.3225760E-03 {m**2/day}
Number of Data Periods [DP],Number of Intervals per Hour,DP Name/Description,DP Start Day of Week,DP Start Day, DP End Day,<repeat to # Data Periods>
1,1,Data,Sunday,1/ 1,12/31
Date,HH:MM,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},HorzIRSky {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,Precip Wtr {mm},Aerosol Opt Depth {.001},SnowDepth {cm},Days Last Snow,Albedo {.01},Rain {mm},Rain Quantity {hr}
Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
1994/1/1,01:00,C9C9C9C9*0?9?9?9?9?9?9?9A7A7A7A7A7A7*0E8*0*0,-9.6,-11.2,86,100000,0,1415,217,0,0,0,0,0,0,0,130,3.0,9,4,13.0,3000,9,'999999999,0,0.0480,0,88,0.000,0.0,0.0
1994/1/1,02:00,C9C9C9C9*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-9.6,-11.3,87,99900,0,1415,217,0,0,0,0,0,0,0,130,3.7,9,4,13.3,3000,9,'999999999,0,0.0480,0,88,0.000,0.0,0.0
1994/1/1,03:00,C9C9C9C9*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-9.8,-11.4,87,99800,0,1415,216,0,0,0,0,0,0,0,130,4.3,10,4,13.7,3000,9,'999999999,0,0.0480,0,88,0.000,0.0,0.0
1994/1/1,04:00,C9C9C9C9*0?9?9?9?9?9?9?9A7A7A7A7A7A7*0E8*0*0,-9.9,-11.5,87,99700,0,1415,216,0,0,0,0,0,0,0,130,5.0,10,4,14.0,3000,9,'999999999,0,0.0480,0,88,0.000,0.0,0.0
1994/1/1,05:00,C9C9C9C9*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-10.1,-11.7,87,99600,0,1415,215,0,0,0,0,0,0,0,130,5.0,10,4,13.0,3000,9,'999999999,0,0.0480,0,88,0.000,0.0,0.0
1994/1/1,06:00,C9C9C9C9*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-10.3,-11.8,87,99500,0,1415,214,0,0,0,0,0,0,0,130,5.0,10,4,12.0,3000,9,'999999999,0,0.0480,0,88,0.000,0.0,0.0
1994/1/1,07:00,A7A7E8E8*0?9?9?9?9?9?9?9A7A7A7A7A7A7*0E8A7*0,-10.8,-12.1,89,99400,0,1415,212,0,0,0,0,0,0,0,130,5.0,10,4,11.0,3000,0,'999099999,0,0.0480,49,88,0.000,0.0,0.0
1994/1/1,08:00,B8C8E8B8*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-10.6,-11.9,89,99300,0,1415,213,0,0,0,0,0,0,0,130,4.0,10,4,11.0,3000,9,'999999999,0,0.0480,49,88,0.000,0.0,0.0
1994/1/1,09:00,B8C8E8B8*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-10.4,-11.7,89,99200,0,1415,214,0,0,0,0,0,0,0,130,3.0,10,4,11.0,3000,9,'999999999,0,0.0480,49,88,0.000,0.0,0.0
1994/1/1,10:00,A7A7E8E8*0?9?9?9?9?9?9?9A7A7A7A7A7A7*0E8*0*0,-10.2,-11.5,89,99100,0,1415,215,0,0,0,0,0,0,0,130,2.0,10,4,11.0,3000,0,'999099999,0,0.0480,49,88,0.000,0.0,0.0
1994/1/1,11:00,B8C8E8B8*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-9.9,-11.3,88,99100,0,1415,218,0,0,0,0,0,0,0,130,2.3,10,5,11.3,3000,9,'999999999,0,0.0480,49,88,0.000,0.0,0.0
1994/1/1,12:00,B8C8E8B8*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0,-9.5,-11.0,88,99000,6,1415,224,1,0,1,100,0,100,30,130,2.7,10,7,11.7,3000,9,'999999999,0,0.0480,49,88,0.000,0.0,0.0
1994/1/1,13:00,A7A7E8E8*0G9G9G9I9I9I9I9A7A7A7A7A7A7*0E8*0*0,-9.2,-10.8,87,99000,44,1415,234,7,0,7,800,0,800,250,120,3.0,10,9,12.0,420,0,'999099999,0,0.0480,49,88,0.000,0.0,0.0
1994/1/1,14:00,B8C8E8B8*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0,-8.9,-10.4,87,98900,57,1415,235,9,0,9,1000,0,1000,320,120,3.0,10,9,12.0,420,9,'999999999,0,0.0480,49,88,0.000,0.0,0.0
