Location Title,Latitude {N+/S-},Longitude {E+/W-},TimeZone {+/- GMT},Elevation {m}
LOCATION_SAMARA_-_RUS_IWEC Data_289000,53.25,50.45,4.0,44.0
Number of Design Conditions,Title of Design Condition,,Design Stat,ColdestMonth,DB996,DB990,DP996,HR_DP996,DB_DP996,DP990,HR_DP990,DB_DP990,WS004c,DB_WS004c,WS010c,DB_WS010c,WS_DB996,WD_DB996,Design Stat,HottestMonth,DBR,DB004,WB_DB004,DB010,WB_DB010,DB020,WB_DB020,WB004,DB_WB004,WB010,DB_WB010,WB020,DB_WB020,WS_DB004,WD_DB004,DP004,HR_DP004,DB_DP004,DP010,HR_DP010,DB_DP010,DP020,HR_DP020,DB_DP020,EN004,DB_EN004,EN010,DB_EN010,EN020,DB_EN020,#Hrs_8-4_&_DB-12.8/20.6,Design Stat,WS010,WS025,WS050,WBmax,DBmin_mean,DBmax_mean,DBmin_stddev,DBmax_stddev,DBmin05years,DBmax05years,DBmin10years,DBmax10years,DBmin20years,DBmax20years,DBmin50years,DBmax50years
,,,Units,{},{°C},{°C},{°C},{},{°C},{°C},{},{°C},{m/s},{°C},{m/s},{°C},{m/s},{deg},Units,{},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{m/s},{deg},{°C},{},{°C},{°C},{},{°C},{°C},{},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{},Units,{m/s},{m/s},{m/s},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C}
1,Climate Design Data 2013 ASHRAE Handbook,,Heating,2,-27.2,-24.1,-30.4,0.2,-27.3,-27.1,0.3,-23.8,12.4,-7.2,11.3,-6,2.8,320,Cooling,7,10.6,32.2,19.9,30.2,19.6,28.2,18.8,21.8,28.2,20.9,27.4,20,26.3,3.8,210,19.8,14.6,24.6,18.8,13.7,23.6,17.8,12.8,22.7,63.8,28.3,60.3,27.7,57.3,26.4,654,Extremes,10.5,9.3,8.3,26.1,-29.9,34.3,3.4,2.2,-32.4,35.9,-34.3,37.1,-36.2,38.4,-38.7,39.9
Number of Typical/Extreme Periods,Period Name,Period Type,Period Start Day,Period End Day,<repeat to # periods>
6,Summer - Week Nearest Max Temperature For Period,Extreme,7/20,7/26,Summer - Week Nearest Average Temperature For Period,Typical,8/ 3,8/ 9,Winter - Week Nearest Min Temperature For Period,Extreme,1/13,1/19,Winter - Week Nearest Average Temperature For Period,Typical,1/ 6,1/12,Autumn - Week Nearest Average Temperature For Period,Typical,10/20,10/26,Spring - Week Nearest Average Temperature For Period,Typical,4/12,4/18
Number of Ground Temperature Depths,Ground Temperature Depth {m},Soil Conductivity {W/m-K},Soil Density {kg/m3},Soil Specific Heat {J/kg-K},Jan {C},Feb{C},Mar {C},Apr {C},May {C},Jun {C},Jul {C},Aug {C},Sep {C},Oct {C},Nov {C},Dec {C},<repeat to Number of temperature depths>
3,.5,,,,3.01,-3.77,-7.93,-9.19,-6.70,-1.06,5.94,12.79,17.39,18.47,15.80,10.26,2,,,,5.98,0.57,-3.37,-5.16,-5.01,-1.77,3.07,8.49,12.85,14.90,14.22,11.01,4,,,,7.18,3.49,0.40,-1.31,-2.33,-0.90,1.96,5.64,9.05,11.19,11.61,10.17
Leap Year Observed?,Daylight Saving Start Date,Daylight Saving End Date,Number of Holidays,Holiday Name,Holiday Date,<repeat for # Holidays>
No,0,0,0
Comment Line #1
"IWEC- WMO#289000 - Asia -- Original Source Data (c) 2001 American Society of Heating, Refrigerating and Air-Conditioning Engineers (ASHRAE), Inc., Atlanta, GA, USA.  www.ashrae.org  All rights reserved as noted in the License Agreement and Additional Conditions. DISCLAIMER OF WARRANTIES: The data is provided 'as is' without warranty of any kind, either expressed or implied. The entire risk as to the quality and performance of the data is with you. In no event will ASHRAE or its contractors be liable to you for any damages, including without limitation any lost profits, lost savings, or other incidental or consequential damages arising out of the use or inability to use this data."
Comment Line #2
 -- Ground temps produced with a standard soil diffusivity of 2.3225760E-03 {m**2/day}
Number of Data Periods [DP],Number of Intervals per Hour,DP Name/Description,DP Start Day of Week,DP Start Day, DP End Day,<repeat to # Data Periods>
1,1,Data,Sunday,1/ 1,12/31
Date,HH:MM,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},HorzIRSky {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,Precip Wtr {mm},Aerosol Opt Depth {.001},SnowDepth {cm},Days Last Snow,Albedo {.01},Rain {mm},Rain Quantity {hr}
Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
1990/1/1,01:00,C9C9C9C9*0?9?9?9?9?9?9?9A7A7A7A7A7A7*0E8*0*0,-9.9,-12.5,79,101400,0,1415,221,0,0,0,0,0,0,0,270,2.0,7,7,10.0,540,9,'999999999,0,0.0390,0,88,0.000,0.0,0.0
1990/1/1,02:00,C9C9C9C9*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-8.9,-11.5,79,101300,0,1415,223,0,0,0,0,0,0,0,270,3.0,6,6,10.0,540,9,'999999999,0,0.0390,0,88,0.000,0.0,0.0
1990/1/1,03:00,C9C9C9C9*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-8.3,-10.8,80,101200,0,1415,222,0,0,0,0,0,0,0,270,4.0,4,4,10.0,540,9,'999999999,0,0.0390,0,88,0.000,0.0,0.0
1990/1/1,04:00,C9C9C9C9*0?9?9?9?9?9?9?9A7A7A7A7A7A7*0E8*0*0,-8.0,-10.5,80,101200,0,1415,219,0,0,0,0,0,0,0,230,5.0,2,2,10.0,22000,9,'999999999,0,0.0390,0,88,0.000,0.0,0.0
1990/1/1,05:00,C9C9C9C9*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-8.1,-10.5,81,101100,0,1415,223,0,0,0,0,0,0,0,230,5.7,4,4,10.0,22000,9,'999999999,0,0.0390,0,88,0.000,0.0,0.0
1990/1/1,06:00,C9C9C9C9*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-8.1,-10.4,81,101100,0,1415,227,0,0,0,0,0,0,0,230,6.3,6,6,10.0,22000,9,'999999999,0,0.0390,0,88,0.000,0.0,0.0
1990/1/1,07:00,A7A7E8E8*0?9?9?9?9?9?9?9A7A7A7A7A7A7*0E8*0*0,-7.2,-9.7,80,100900,0,1415,233,0,0,0,0,0,0,0,270,7.0,7,7,10.0,450,9,'999999999,0,0.0390,0,88,0.000,0.0,0.0
1990/1/1,08:00,B8C8E8B8*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-6.7,-9.2,80,100800,0,1415,239,0,0,0,0,0,0,0,270,7.3,8,8,10.0,450,9,'999999999,0,0.0390,0,88,0.000,0.0,0.0
1990/1/1,09:00,B8C8E8B8*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-6.1,-8.7,80,100700,0,1415,247,0,0,0,0,0,0,0,270,7.7,9,9,10.0,450,9,'999999999,0,0.0390,0,88,0.000,0.0,0.0
1990/1/1,10:00,A7A7E8E8*0G9G9G9I9I9I9I9A7A7A7A7A7A7*0E8*0*0,-5.6,-8.2,80,100600,78,1415,256,14,0,14,1600,0,1600,500,260,8.0,10,10,10.0,630,0,'999909999,0,0.0390,0,88,0.000,0.0,0.0
1990/1/1,11:00,B8C8E8B8*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0,-4.9,-7.2,82,100600,209,1415,253,47,0,47,5300,0,5300,1620,260,7.0,10,9,10.0,630,9,'999999999,0,0.0390,0,88,0.000,0.0,0.0
1990/1/1,12:00,B8C8E8B8*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0,-4.3,-6.3,84,100600,296,1415,250,75,2,75,8400,100,8400,2580,260,6.0,10,8,10.0,630,9,'999999999,0,0.0390,0,88,0.000,0.0,0.0
1990/1/1,13:00,A7A7E8E8*0G9G9G9I9I9I9I9A7A7A7A7A7A7*0E8*0*0,-3.6,-5.4,86,100600,332,1415,250,88,6,86,9800,300,9700,3000,270,5.0,10,7,10.0,540,0,'999999949,0,0.0390,0,88,0.000,0.0,0.0
1990/1/1,14:00,B8C8E8B8*0H9H9H9I9I9I9I9*0B8B8B8B8*0*0E8*0*0,-3.4,-5.7,82,100600,315,1415,250,92,6,90,10100,200,10000,3000,270,4.7,10,7,10.0,540,9,'999999999,0,0.0390,0,88,0.000,0.0,0.0
