Location Title,Latitude {N+/S-},Longitude {E+/W-},TimeZone {+/- GMT},Elevation {m}
LOCATION_KIRUNA_-_SWE_IWEC Data_020440,67.82,20.33,1.0,452.0
Number of Design Conditions,Title of Design Condition,,Design Stat,ColdestMonth,DB996,DB990,DP996,HR_DP996,DB_DP996,DP990,HR_DP990,DB_DP990,WS004c,DB_WS004c,WS010c,DB_WS010c,WS_DB996,WD_DB996,Design Stat,HottestMonth,DBR,DB004,WB_DB004,DB010,WB_DB010,DB020,WB_DB020,WB004,DB_WB004,WB010,DB_WB010,WB020,DB_WB020,WS_DB004,WD_DB004,DP004,HR_DP004,DB_DP004,DP010,HR_DP010,DB_DP010,DP020,HR_DP020,DB_DP020,EN004,DB_EN004,EN010,DB_EN010,EN020,DB_EN020,#Hrs_8-4_&_DB-12.8/20.6,Design Stat,WS010,WS025,WS050,WBmax,DBmin_mean,DBmax_mean,DBmin_stddev,DBmax_stddev,DBmin05years,DBmax05years,DBmin10years,DBmax10years,DBmin20years,DBmax20years,DBmin50years,DBmax50years
,,,Units,{},{°C},{°C},{°C},{},{°C},{°C},{},{°C},{m/s},{°C},{m/s},{°C},{m/s},{deg},Units,{},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{m/s},{deg},{°C},{},{°C},{°C},{},{°C},{°C},{},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{kJ/kg},{°C},{},Units,{m/s},{m/s},{m/s},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C},{°C}
1,Climate Design Data 2013 ASHRAE Handbook,,Heating,1,-29.8,-26.6,-33.1,0.2,-29.6,-29.8,0.3,-26.5,13.9,0.9,12.3,-2.4,1.8,220,Cooling,7,8,22,14,20,13.3,18.1,12.5,15.4,19.6,14.2,18.2,13.2,17,3.4,190,13.6,10.3,17,12.4,9.5,15.7,11.2,8.8,14.7,44.7,19.3,41.2,18.3,38.5,16.9,432,Extremes,10.9,9.3,8.1,18.8,-32.4,24.6,3.3,1.5,-34.7,25.7,-36.7,26.6,-38.5,27.4,-40.9,28.5
Number of Typical/Extreme Periods,Period Name,Period Type,Period Start Day,Period End Day,<repeat to # periods>
6,Summer - Week Nearest Max Temperature For Period,Extreme,7/24,7/30,Summer - Week Nearest Average Temperature For Period,Typical,6/12,6/18,Winter - Week Nearest Min Temperature For Period,Extreme,1/18,1/24,Winter - Week Nearest Average Temperature For Period,Typical,11/22,11/28,Autumn - Week Nearest Average Temperature For Period,Typical,9/26,10/ 2,Spring - Week Nearest Average Temperature For Period,Typical,2/ 8,2/14
Number of Ground Temperature Depths,Ground Temperature Depth {m},Soil Conductivity {W/m-K},Soil Density {kg/m3},Soil Specific Heat {J/kg-K},Jan {C},Feb{C},Mar {C},Apr {C},May {C},Jun {C},Jul {C},Aug {C},Sep {C},Oct {C},Nov {C},Dec {C},<repeat to Number of temperature depths>
3,.5,,,,-10.88,-6.04,-0.46,3.70,9.50,10.72,8.76,4.02,-2.15,-7.87,-11.93,-13.01,2,,,,-9.42,-6.66,-2.81,0.38,5.58,7.58,7.21,4.54,0.29,-4.22,-8.02,-9.89,4,,,,-7.13,-5.91,-3.65,-1.55,2.37,4.37,4.85,3.71,1.21,-1.84,-4.79,-6.69
Leap Year Observed?,Daylight Saving Start Date,Daylight Saving End Date,Number of Holidays,Holiday Name,Holiday Date,<repeat for # Holidays>
No,0,0,0
Comment Line #1
"IWEC- WMO#020440 - Europe -- Original Source Data (c) 2001 American Society of Heating, Refrigerating and Air-Conditioning Engineers (ASHRAE), Inc., Atlanta, GA, USA.  www.ashrae.org  All rights reserved as noted in the License Agreement and Additional Conditions. DISCLAIMER OF WARRANTIES: The data is provided 'as is' without warranty of any kind, either expressed or implied. The entire risk as to the quality and performance of the data is with you. In no event will ASHRAE or its contractors be liable to you for any damages, including without limitation any lost profits, lost savings, or other incidental or consequential damages arising out of the use or inability to use this data."
Comment Line #2
 -- Ground temps produced with a standard soil diffusivity of 2.3225760E-03 {m**2/day}
Number of Data Periods [DP],Number of Intervals per Hour,DP Name/Description,DP Start Day of Week,DP Start Day, DP End Day,<repeat to # Data Periods>
1,1,Data,Sunday,1/ 1,12/31
Date,HH:MM,Datasource,DryBulb {C},DewPoint {C},RelHum {%},Atmos Pressure {Pa},ExtHorzRad {Wh/m2},ExtDirRad {Wh/m2},HorzIRSky {Wh/m2},GloHorzRad {Wh/m2},DirNormRad {Wh/m2},DifHorzRad {Wh/m2},GloHorzIllum {lux},DirNormIllum {lux},DifHorzIllum {lux},ZenLum {Cd/m2},WindDir {deg},WindSpd {m/s},TotSkyCvr {.1},OpaqSkyCvr {.1},Visibility {km},Ceiling Hgt {m},PresWeathObs,PresWeathCodes,Precip Wtr {mm},Aerosol Opt Depth {.001},SnowDepth {cm},Days Last Snow,Albedo {.01},Rain {mm},Rain Quantity {hr}
Date,HH:MM,Datasource,Dry Bulb Temperature {C},Dew Point Temperature {C},Relative Humidity {%},Atmospheric Pressure {Pa},Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},Wind Direction {deg},Wind Speed {m/s},Total Sky Cover {.1},Opaque Sky Cover {.1},Visibility {km},Ceiling Height {m},Present Weather Observation,Present Weather Codes,Precipitable Water {mm},Aerosol Optical Depth {.001},Snow Depth {cm},Days Since Last Snow,Albedo {.01},Liquid Precipitation Depth {mm},Liquid Precipitation Quantity {hr}
1990/1/1,01:00,C9C9C9C9*0?9?9?9?9?9?9?9A7A7A7A7A7A7*0E8*0*0,-4.2,-9.1,65,95900,0,1415,233,0,0,0,0,0,0,0,260,8.2,2,2,30.0,22000,9,'999999999,0,0.0000,0,88,0.000,0.0,0.0
1990/1/1,02:00,C9C9C9C9*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-1.9,-8.0,60,96000,0,1415,245,0,0,0,0,0,0,0,260,8.4,3,3,30.0,22000,9,'999999999,0,0.0000,0,88,0.000,0.0,0.0
1990/1/1,03:00,C9C9C9C9*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-0.4,-7.2,56,96100,0,1415,251,0,0,0,0,0,0,0,260,8.5,3,3,30.0,22000,9,'999999999,0,0.0000,0,88,0.000,0.0,0.0
1990/1/1,04:00,C9C9C9C9*0?9?9?9?9?9?9?9A7A7A7A7A7A7*0E8*0*0,0.4,-6.9,54,96200,0,1415,256,0,0,0,0,0,0,0,310,8.7,4,4,30.0,22000,9,'999999999,0,0.0000,0,88,0.000,0.0,0.0
1990/1/1,05:00,C9C9C9C9*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,0.7,-6.8,54,96200,0,1415,255,0,0,0,0,0,0,0,310,9.4,4,3,30.0,22000,9,'999999999,0,0.0000,0,88,0.000,0.0,0.0
1990/1/1,06:00,C9C9C9C9*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,1.0,-6.7,53,96200,0,1415,254,0,0,0,0,0,0,0,310,10.1,5,2,30.0,22000,9,'999999999,0,0.0000,0,88,0.000,0.0,0.0
1990/1/1,07:00,A7A7E8E8*0?9?9?9?9?9?9?9A7A7A7A7A7A7*0E8A7*0,0.7,-6.0,57,96200,0,1415,250,0,0,0,0,0,0,0,320,10.8,5,1,30.0,22000,9,'999999999,0,0.0000,30,88,0.000,0.0,0.0
1990/1/1,08:00,B8C8E8B8*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,0.3,-6.5,57,96300,0,1415,252,0,0,0,0,0,0,0,320,9.9,5,2,40.0,22000,9,'999999999,0,0.0000,30,88,0.000,0.0,0.0
1990/1/1,09:00,B8C8E8B8*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-0.1,-5.2,65,96400,0,1415,254,0,0,0,0,0,0,0,320,9.1,6,3,50.0,22000,9,'999999999,0,0.0000,30,88,0.000,0.0,0.0
1990/1/1,10:00,A7A7E8E8*0?9?9?9?9?9?9?9A7A7A7A7A7A7*0E8*0*0,-0.5,-4.8,70,96500,0,1415,255,0,0,0,0,0,0,0,330,8.2,6,4,60.0,3000,9,'999999999,0,0.0000,30,88,0.000,0.0,0.0
1990/1/1,11:00,B8C8E8B8*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-1.6,-5.5,72,96500,0,1415,248,0,0,0,0,0,0,0,330,6.3,7,3,60.0,3000,9,'999999999,0,0.0000,30,88,0.000,0.0,0.0
1990/1/1,12:00,B8C8E8B8*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-2.6,-6.3,73,96600,0,1415,244,0,0,0,0,0,0,0,330,4.5,7,3,60.0,3000,9,'999999999,0,0.0000,30,88,0.000,0.0,0.0
1990/1/1,13:00,A7A7E8E8*0?9?9?9?9?9?9?9A7A7A7A7A7A7*0E8*0*0,-3.7,-7.1,75,96600,0,1415,237,0,0,0,0,0,0,0,180,2.6,7,2,60.0,6000,9,'999999999,0,0.0000,30,88,0.000,0.0,0.0
1990/1/1,14:00,B8C8E8B8*0?9?9?9?9?9?9?9*0B8B8B8B8*0*0E8*0*0,-3.2,-6.7,74,96600,0,1415,239,0,0,0,0,0,0,0,180,2.8,7,2,60.0,6000,9,'999999999,0,0.0000,30,88,0.000,0.0,0.0
